Checker	Path	Line	Column	Message	CWE
shadowVariable	reftable/record.c	418	7	Local variable 'n' shadows outer variable	398
shadowVariable	reftable/record.c	551	7	Local variable 'n' shadows outer variable	398
shadowVariable	reftable/record.c	601	7	Local variable 'n' shadows outer variable	398
constParameter	reftable/record.c	245	45	Parameter 'src' can be declared as pointer to const	398
uselessAssignmentArg	builtin/difftool.c	722	2	Assignment of function parameter has no effect outside the function.	398
shadowVariable	builtin/difftool.c	478	31	Local variable 'entry' shadows outer variable	398
nullPointerRedundantCheck	builtin/push.c	671	6	Either the condition '!remote' is redundant or there is possible null pointer dereference: remote.	476
variableScope	builtin/push.c	426	6	The scope of the variable 'i' can be reduced.	398
shadowVariable	builtin/push.c	465	7	Local variable 'recurse_submodules' shadows outer variable	398
clarifyCondition	builtin/config.c	306	20	Boolean result is used in bitwise operation. Clarify expression with parentheses.	398
shadowVariable	builtin/config.c	190	13	Local variable 'term' shadows outer variable	398
shadowVariable	builtin/config.c	203	13	Local variable 'term' shadows outer variable	398
variableScope	builtin/interpret-trailers.c	47	27	The scope of the variable 'item' can be reduced.	398
shadowFunction	builtin/merge-tree.c	415	22	Local variable 'result' shadows outer function	398
shadowFunction	builtin/merge-tree.c	535	8	Local variable 'result' shadows outer function	398
unusedStructMember	xdiff/xhistogram.c	65	8	struct member 'histindex::key_shift' is never used.	563
nullPointerArithmeticRedundantCheck	builtin/am.c	1371	27	Either the condition '!msg' is redundant or there is pointer arithmetic with NULL pointer.	682
shadowVariable	builtin/am.c	1857	18	Local variable 'sb' shadows outer variable	398
knownConditionTrueFalse	builtin/clean.c	778	7	Condition '!eof' is always true	571
variableScope	builtin/clean.c	289	14	The scope of the variable 'qname' can be reduced.	398
variableScope	builtin/clean.c	672	18	The scope of the variable 'ignore_list' can be reduced.	398
variableScope	builtin/clean.c	674	23	The scope of the variable 'pl' can be reduced.	398
nullPointerRedundantCheck	reftable/block.c	445	40	Either the condition 'blockp' is redundant or there is possible null pointer dereference: blockp.	476
variableScope	builtin/fsck.c	470	17	The scope of the variable 'obj' can be reduced.	398
variableScope	builtin/fsck.c	894	13	The scope of the variable 'total' can be reduced.	398
shadowVariable	builtin/rebase.c	1425	7	Local variable 'i' shadows outer variable	398
shadowVariable	builtin/rebase.c	1464	7	Local variable 'i' shadows outer variable	398
clarifyCalculation	builtin/rebase.c	329	41	Clarify calculation precedence for '&' and '?'.	783
constParameter	builtin/rebase.c	856	45	Parameter 'from' can be declared as pointer to const	398
uselessAssignmentPtrArg	builtin/fast-import.c	2504	4	Assignment of function parameter has no effect outside the function. Did you forget dereferencing it?	398
nullPointerRedundantCheck	builtin/fast-import.c	1286	31	Either the condition '!c' is redundant or there is possible null pointer dereference: c.	476
nullPointerRedundantCheck	builtin/fast-import.c	2548	22	Either the condition '!buf' is redundant or there is possible null pointer dereference: buf.	476
nullPointerRedundantCheck	builtin/fast-import.c	3332	3	Either the condition '!f' is redundant or there is possible null pointer dereference: f.	476
nullPointerArithmeticRedundantCheck	builtin/fast-import.c	1274	19	Either the condition '!buf' is redundant or there is pointer arithmetic with NULL pointer.	682
nullPointerArithmeticRedundantCheck	builtin/fast-import.c	3333	3	Either the condition '!f' is redundant or there is pointer arithmetic with NULL pointer.	682
redundantAssignment	builtin/fast-import.c	1933	6	Variable 'num' is reassigned a value before the old one has been used.	563
variableScope	builtin/fast-import.c	727	21	The scope of the variable 'a' can be reduced.	398
variableScope	builtin/fast-import.c	2099	21	The scope of the variable 'e' can be reduced.	398
variableScope	builtin/fast-import.c	2100	18	The scope of the variable 'tmp_hex_oid_len' can be reduced.	398
variableScope	builtin/fast-import.c	2100	35	The scope of the variable 'tmp_fullpath_len' can be reduced.	398
variableScope	builtin/fast-import.c	3090	35	The scope of the variable 'top' can be reduced.	398
shadowFunction	builtin/fast-import.c	1089	29	Local variable 'checkpoint' shadows outer function	398
unreadVariable	builtin/fast-import.c	2799	22	Variable 'from_mark' is assigned a value that is never used.	563
va_end_missing	builtin/fast-import.c	429	1	va_list 'cp' was opened but not closed by va_end().	664
ConfigurationNotChecked	builtin/fast-import.c	452	0	Skipping configuration 'HAVE_SYSINFO=1;GIT_HOST_CPU=x86_64;HAVE_ALLOCA_H=1;USE_CURL_FOR_IMAP_SEND=1;SUPPORTS_SIMPLE_IPC=1;SHA1_DC=1;SHA1DC_NO_STANDARD_INCLUDES=1;SHA1DC_INIT_SAFE_HASH_DEFAULT=0;SHA1DC_CUSTOM_INCLUDE_SHA1_C=cache.h;SHA1DC_CUSTOM_INCLUDE_UBC_CHECK_C=git-compat-util.h;SHA256_BLK=1;HAVE_PATHS_H=1;HAVE_STRINGS_H=1;HAVE_DEV_TTY=1;HAVE_CLOCK_GETTIME=1;HAVE_CLOCK_MONOTONIC=1;HAVE_SYNC_FILE_RANGE=1;HAVE_GETDELIM=1;PROCFS_EXECUTABLE_PATH=/proc/self/exe;FREAD_READS_DIRECTORIES=1;NO_STRLCPY=1;SHELL_PATH=/bin/sh;SIGUSR1' since the value of 'SIGUSR1' is unknown. Use -D if you want to check it. You can use -U to skip it explicitly.	NONE
constParameter	compat/obstack.c	315	48	Parameter 'obj' can be declared as pointer to const	398
unusedStructMember	compat/obstack.c	61	13	union member 'fooround::i' is never used.	563
unusedStructMember	compat/obstack.c	62	15	union member 'fooround::d' is never used.	563
unusedStructMember	compat/obstack.c	63	9	union member 'fooround::p' is never used.	563
unusedStructMember	compat/obstack.c	67	8	struct member 'fooalign::c' is never used.	563
unusedStructMember	compat/obstack.c	68	18	struct member 'fooalign::u' is never used.	563
ConfigurationNotChecked	compat/obstack.h	161	0	Skipping configuration 'HAVE_SYSINFO=1;GIT_HOST_CPU=x86_64;HAVE_ALLOCA_H=1;USE_CURL_FOR_IMAP_SEND=1;SUPPORTS_SIMPLE_IPC=1;SHA1_DC=1;SHA1DC_NO_STANDARD_INCLUDES=1;SHA1DC_INIT_SAFE_HASH_DEFAULT=0;SHA1DC_CUSTOM_INCLUDE_SHA1_C=cache.h;SHA1DC_CUSTOM_INCLUDE_UBC_CHECK_C=git-compat-util.h;SHA256_BLK=1;HAVE_PATHS_H=1;HAVE_STRINGS_H=1;HAVE_DEV_TTY=1;HAVE_CLOCK_GETTIME=1;HAVE_CLOCK_MONOTONIC=1;HAVE_SYNC_FILE_RANGE=1;HAVE_GETDELIM=1;PROCFS_EXECUTABLE_PATH=/proc/self/exe;FREAD_READS_DIRECTORIES=1;NO_STRLCPY=1;SHELL_PATH=/bin/sh;__PTRDIFF_TYPE__' since the value of '__PTRDIFF_TYPE__' is unknown. Use -D if you want to check it. You can use -U to skip it explicitly.	NONE
ConfigurationNotChecked	compat/obstack.c	171	0	Skipping configuration 'HAVE_SYSINFO=1;GIT_HOST_CPU=x86_64;HAVE_ALLOCA_H=1;USE_CURL_FOR_IMAP_SEND=1;SUPPORTS_SIMPLE_IPC=1;SHA1_DC=1;SHA1DC_NO_STANDARD_INCLUDES=1;SHA1DC_INIT_SAFE_HASH_DEFAULT=0;SHA1DC_CUSTOM_INCLUDE_SHA1_C=cache.h;SHA1DC_CUSTOM_INCLUDE_UBC_CHECK_C=git-compat-util.h;SHA256_BLK=1;HAVE_PATHS_H=1;HAVE_STRINGS_H=1;HAVE_DEV_TTY=1;HAVE_CLOCK_GETTIME=1;HAVE_CLOCK_MONOTONIC=1;HAVE_SYNC_FILE_RANGE=1;HAVE_GETDELIM=1;PROCFS_EXECUTABLE_PATH=/proc/self/exe;FREAD_READS_DIRECTORIES=1;NO_STRLCPY=1;SHELL_PATH=/bin/sh;__PTRDIFF_TYPE__' since the value of '__PTRDIFF_TYPE__' is unknown. Use -D if you want to check it. You can use -U to skip it explicitly.	NONE
ConfigurationNotChecked	compat/obstack.c	220	0	Skipping configuration 'HAVE_SYSINFO=1;GIT_HOST_CPU=x86_64;HAVE_ALLOCA_H=1;USE_CURL_FOR_IMAP_SEND=1;SUPPORTS_SIMPLE_IPC=1;SHA1_DC=1;SHA1DC_NO_STANDARD_INCLUDES=1;SHA1DC_INIT_SAFE_HASH_DEFAULT=0;SHA1DC_CUSTOM_INCLUDE_SHA1_C=cache.h;SHA1DC_CUSTOM_INCLUDE_UBC_CHECK_C=git-compat-util.h;SHA256_BLK=1;HAVE_PATHS_H=1;HAVE_STRINGS_H=1;HAVE_DEV_TTY=1;HAVE_CLOCK_GETTIME=1;HAVE_CLOCK_MONOTONIC=1;HAVE_SYNC_FILE_RANGE=1;HAVE_GETDELIM=1;PROCFS_EXECUTABLE_PATH=/proc/self/exe;FREAD_READS_DIRECTORIES=1;NO_STRLCPY=1;SHELL_PATH=/bin/sh;__PTRDIFF_TYPE__' since the value of '__PTRDIFF_TYPE__' is unknown. Use -D if you want to check it. You can use -U to skip it explicitly.	NONE
ConfigurationNotChecked	compat/obstack.c	263	0	Skipping configuration 'HAVE_SYSINFO=1;GIT_HOST_CPU=x86_64;HAVE_ALLOCA_H=1;USE_CURL_FOR_IMAP_SEND=1;SUPPORTS_SIMPLE_IPC=1;SHA1_DC=1;SHA1DC_NO_STANDARD_INCLUDES=1;SHA1DC_INIT_SAFE_HASH_DEFAULT=0;SHA1DC_CUSTOM_INCLUDE_SHA1_C=cache.h;SHA1DC_CUSTOM_INCLUDE_UBC_CHECK_C=git-compat-util.h;SHA256_BLK=1;HAVE_PATHS_H=1;HAVE_STRINGS_H=1;HAVE_DEV_TTY=1;HAVE_CLOCK_GETTIME=1;HAVE_CLOCK_MONOTONIC=1;HAVE_SYNC_FILE_RANGE=1;HAVE_GETDELIM=1;PROCFS_EXECUTABLE_PATH=/proc/self/exe;FREAD_READS_DIRECTORIES=1;NO_STRLCPY=1;SHELL_PATH=/bin/sh;__PTRDIFF_TYPE__' since the value of '__PTRDIFF_TYPE__' is unknown. Use -D if you want to check it. You can use -U to skip it explicitly.	NONE
ConfigurationNotChecked	compat/obstack.c	290	0	Skipping configuration 'HAVE_SYSINFO=1;GIT_HOST_CPU=x86_64;HAVE_ALLOCA_H=1;USE_CURL_FOR_IMAP_SEND=1;SUPPORTS_SIMPLE_IPC=1;SHA1_DC=1;SHA1DC_NO_STANDARD_INCLUDES=1;SHA1DC_INIT_SAFE_HASH_DEFAULT=0;SHA1DC_CUSTOM_INCLUDE_SHA1_C=cache.h;SHA1DC_CUSTOM_INCLUDE_UBC_CHECK_C=git-compat-util.h;SHA256_BLK=1;HAVE_PATHS_H=1;HAVE_STRINGS_H=1;HAVE_DEV_TTY=1;HAVE_CLOCK_GETTIME=1;HAVE_CLOCK_MONOTONIC=1;HAVE_SYNC_FILE_RANGE=1;HAVE_GETDELIM=1;PROCFS_EXECUTABLE_PATH=/proc/self/exe;FREAD_READS_DIRECTORIES=1;NO_STRLCPY=1;SHELL_PATH=/bin/sh;__PTRDIFF_TYPE__' since the value of '__PTRDIFF_TYPE__' is unknown. Use -D if you want to check it. You can use -U to skip it explicitly.	NONE
variableScope	builtin/diff-tree.c	110	7	The scope of the variable 'line' can be reduced.	398
uselessAssignmentArg	builtin/stash.c	810	2	Assignment of function parameter has no effect outside the function.	398
uselessAssignmentArg	builtin/stash.c	1739	4	Assignment of function parameter has no effect outside the function.	398
shadowVariable	builtin/stash.c	1677	25	Local variable 'cp' shadows outer variable	398
unreadVariable	builtin/stash.c	1739	8	Variable 'argc' is assigned a value that is never used.	563
ConfigurationNotChecked	git-compat-util.h	1336	0	Skipping configuration 'HAVE_SYSINFO=1;GIT_HOST_CPU=x86_64;HAVE_ALLOCA_H=1;USE_CURL_FOR_IMAP_SEND=1;SUPPORTS_SIMPLE_IPC=1;SHA1_DC=1;SHA1DC_NO_STANDARD_INCLUDES=1;SHA1DC_INIT_SAFE_HASH_DEFAULT=0;SHA1DC_CUSTOM_INCLUDE_SHA1_C=cache.h;SHA1DC_CUSTOM_INCLUDE_UBC_CHECK_C=git-compat-util.h;SHA256_BLK=1;HAVE_PATHS_H=1;HAVE_STRINGS_H=1;HAVE_DEV_TTY=1;HAVE_CLOCK_GETTIME=1;HAVE_CLOCK_MONOTONIC=1;HAVE_SYNC_FILE_RANGE=1;HAVE_GETDELIM=1;PROCFS_EXECUTABLE_PATH=/proc/self/exe;FREAD_READS_DIRECTORIES=1;NO_STRLCPY=1;SHELL_PATH=/bin/sh;ETC_GITCONFIG=/usr/local/etc/gitconfig;BIG_ENDIAN;BYTE_ORDER;LITTLE_ENDIAN;REG_STARTEND' since the value of 'REG_STARTEND' is unknown. Use -D if you want to check it. You can use -U to skip it explicitly.	NONE
ConfigurationNotChecked	git-compat-util.h	1336	0	Skipping configuration 'HAVE_SYSINFO=1;GIT_HOST_CPU=x86_64;HAVE_ALLOCA_H=1;USE_CURL_FOR_IMAP_SEND=1;SUPPORTS_SIMPLE_IPC=1;SHA1_DC=1;SHA1DC_NO_STANDARD_INCLUDES=1;SHA1DC_INIT_SAFE_HASH_DEFAULT=0;SHA1DC_CUSTOM_INCLUDE_SHA1_C=cache.h;SHA1DC_CUSTOM_INCLUDE_UBC_CHECK_C=git-compat-util.h;SHA256_BLK=1;HAVE_PATHS_H=1;HAVE_STRINGS_H=1;HAVE_DEV_TTY=1;HAVE_CLOCK_GETTIME=1;HAVE_CLOCK_MONOTONIC=1;HAVE_SYNC_FILE_RANGE=1;HAVE_GETDELIM=1;PROCFS_EXECUTABLE_PATH=/proc/self/exe;FREAD_READS_DIRECTORIES=1;NO_STRLCPY=1;SHELL_PATH=/bin/sh;ETC_GITCONFIG=/usr/local/etc/gitconfig;_MSC_VER;_M_ARM64;_M_IX86;_M_X64;REG_STARTEND' since the value of 'REG_STARTEND' is unknown. Use -D if you want to check it. You can use -U to skip it explicitly.	NONE
ConfigurationNotChecked	git-compat-util.h	1336	0	Skipping configuration 'HAVE_SYSINFO=1;GIT_HOST_CPU=x86_64;HAVE_ALLOCA_H=1;USE_CURL_FOR_IMAP_SEND=1;SUPPORTS_SIMPLE_IPC=1;SHA1_DC=1;SHA1DC_NO_STANDARD_INCLUDES=1;SHA1DC_INIT_SAFE_HASH_DEFAULT=0;SHA1DC_CUSTOM_INCLUDE_SHA1_C=cache.h;SHA1DC_CUSTOM_INCLUDE_UBC_CHECK_C=git-compat-util.h;SHA256_BLK=1;HAVE_PATHS_H=1;HAVE_STRINGS_H=1;HAVE_DEV_TTY=1;HAVE_CLOCK_GETTIME=1;HAVE_CLOCK_MONOTONIC=1;HAVE_SYNC_FILE_RANGE=1;HAVE_GETDELIM=1;PROCFS_EXECUTABLE_PATH=/proc/self/exe;FREAD_READS_DIRECTORIES=1;NO_STRLCPY=1;SHELL_PATH=/bin/sh;ETC_GITCONFIG=/usr/local/etc/gitconfig;__BIG_ENDIAN;__BYTE_ORDER;__LITTLE_ENDIAN;REG_STARTEND' since the value of 'REG_STARTEND' is unknown. Use -D if you want to check it. You can use -U to skip it explicitly.	NONE
ConfigurationNotChecked	git-compat-util.h	1336	0	Skipping configuration 'HAVE_SYSINFO=1;GIT_HOST_CPU=x86_64;HAVE_ALLOCA_H=1;USE_CURL_FOR_IMAP_SEND=1;SUPPORTS_SIMPLE_IPC=1;SHA1_DC=1;SHA1DC_NO_STANDARD_INCLUDES=1;SHA1DC_INIT_SAFE_HASH_DEFAULT=0;SHA1DC_CUSTOM_INCLUDE_SHA1_C=cache.h;SHA1DC_CUSTOM_INCLUDE_UBC_CHECK_C=git-compat-util.h;SHA256_BLK=1;HAVE_PATHS_H=1;HAVE_STRINGS_H=1;HAVE_DEV_TTY=1;HAVE_CLOCK_GETTIME=1;HAVE_CLOCK_MONOTONIC=1;HAVE_SYNC_FILE_RANGE=1;HAVE_GETDELIM=1;PROCFS_EXECUTABLE_PATH=/proc/self/exe;FREAD_READS_DIRECTORIES=1;NO_STRLCPY=1;SHELL_PATH=/bin/sh;ETC_GITCONFIG=/usr/local/etc/gitconfig;__GNUC__;__i386__;__x86_64__;REG_STARTEND' since the value of 'REG_STARTEND' is unknown. Use -D if you want to check it. You can use -U to skip it explicitly.	NONE
ConfigurationNotChecked	git-compat-util.h	1336	0	Skipping configuration 'HAVE_SYSINFO=1;GIT_HOST_CPU=x86_64;HAVE_ALLOCA_H=1;USE_CURL_FOR_IMAP_SEND=1;SUPPORTS_SIMPLE_IPC=1;SHA1_DC=1;SHA1DC_NO_STANDARD_INCLUDES=1;SHA1DC_INIT_SAFE_HASH_DEFAULT=0;SHA1DC_CUSTOM_INCLUDE_SHA1_C=cache.h;SHA1DC_CUSTOM_INCLUDE_UBC_CHECK_C=git-compat-util.h;SHA256_BLK=1;HAVE_PATHS_H=1;HAVE_STRINGS_H=1;HAVE_DEV_TTY=1;HAVE_CLOCK_GETTIME=1;HAVE_CLOCK_MONOTONIC=1;HAVE_SYNC_FILE_RANGE=1;HAVE_GETDELIM=1;PROCFS_EXECUTABLE_PATH=/proc/self/exe;FREAD_READS_DIRECTORIES=1;NO_STRLCPY=1;SHELL_PATH=/bin/sh;ETC_GITCONFIG=/usr/local/etc/gitconfig;__GNUC__;__i386__;__x86_64__;__x86_64__;REG_STARTEND' since the value of 'REG_STARTEND' is unknown. Use -D if you want to check it. You can use -U to skip it explicitly.	NONE
uselessAssignmentArg	builtin/sparse-checkout.c	455	2	Assignment of function parameter has no effect outside the function.	398
uselessAssignmentArg	builtin/sparse-checkout.c	863	2	Assignment of function parameter has no effect outside the function.	398
uselessAssignmentArg	builtin/sparse-checkout.c	900	2	Assignment of function parameter has no effect outside the function.	398
variableScope	builtin/sparse-checkout.c	791	6	The scope of the variable 'default_patterns_nr' can be reduced.	398
unreadVariable	builtin/sparse-checkout.c	863	7	Variable 'argc' is assigned a value that is never used.	563
shadowVariable	builtin/fetch-pack.c	242	7	Local variable 'i' shadows outer variable	398
variableScope	builtin/check-ignore.c	74	14	The scope of the variable 'full_path' can be reduced.	398
variableScope	builtin/check-ignore.c	77	23	The scope of the variable 'pattern' can be reduced.	398
varFuncNullUB	builtin/revert.c	182	77	Passing NULL after the last typed argument to a variadic function leads to undefined behaviour.	475
varFuncNullUB	builtin/revert.c	196	29	Passing NULL after the last typed argument to a variadic function leads to undefined behaviour.	475
unknownMacro	builtin/repack.c	522	3	There is an unknown macro here somewhere. Configuration is required. If for_each_string_list_item is a macro then please configure it.	NONE
uselessAssignmentArg	builtin/diagnose.c	32	2	Assignment of function parameter has no effect outside the function.	398
nullPointerRedundantCheck	builtin/unpack-objects.c	238	23	Either the condition '!obj_buf' is redundant or there is possible null pointer dereference: obj_buf.	476
nullPointerRedundantCheck	builtin/unpack-objects.c	300	3	Either the condition '!obj' is redundant or there is possible null pointer dereference: obj.	476
nullPointerRedundantCheck	builtin/unpack-objects.c	411	3	Either the condition '!blob' is redundant or there is possible null pointer dereference: blob.	476
variableScope	builtin/unpack-objects.c	460	16	The scope of the variable 'mid' can be reduced.	398
shadowArgument	builtin/unpack-objects.c	228	7	Local variable 'type' shadows outer argument	398
unknownMacro	builtin/remote.c	1451	2	There is an unknown macro here somewhere. Configuration is required. If for_each_string_list_item is a macro then please configure it.	NONE
uselessAssignmentArg	builtin/pull.c	506	3	Assignment of function parameter has no effect outside the function.	398
unreadVariable	builtin/pull.c	506	7	Variable 'argc' is assigned a value that is never used.	563
uselessAssignmentArg	builtin/rev-parse.c	525	2	Assignment of function parameter has no effect outside the function.	398
nullPointerRedundantCheck	builtin/rev-parse.c	721	10	Either the condition '!gitdir' is redundant or there is possible null pointer dereference: gitdir.	476
nullPointerRedundantCheck	builtin/rev-parse.c	772	17	Either the condition '!arg' is redundant or there is possible null pointer dereference: arg.	476
shadowVariable	builtin/rev-parse.c	709	9	Local variable 'i' shadows outer variable	398
shadowVariable	builtin/rev-parse.c	1013	30	Local variable 'oid' shadows outer variable	398
ConfigurationNotChecked	compat/nonblock.c	11	0	Skipping configuration 'HAVE_SYSINFO=1;GIT_HOST_CPU=x86_64;HAVE_ALLOCA_H=1;USE_CURL_FOR_IMAP_SEND=1;SUPPORTS_SIMPLE_IPC=1;SHA1_DC=1;SHA1DC_NO_STANDARD_INCLUDES=1;SHA1DC_INIT_SAFE_HASH_DEFAULT=0;SHA1DC_CUSTOM_INCLUDE_SHA1_C=cache.h;SHA1DC_CUSTOM_INCLUDE_UBC_CHECK_C=git-compat-util.h;SHA256_BLK=1;HAVE_PATHS_H=1;HAVE_STRINGS_H=1;HAVE_DEV_TTY=1;HAVE_CLOCK_GETTIME=1;HAVE_CLOCK_MONOTONIC=1;HAVE_SYNC_FILE_RANGE=1;HAVE_GETDELIM=1;PROCFS_EXECUTABLE_PATH=/proc/self/exe;FREAD_READS_DIRECTORIES=1;NO_STRLCPY=1;SHELL_PATH=/bin/sh;O_NONBLOCK' since the value of 'O_NONBLOCK' is unknown. Use -D if you want to check it. You can use -U to skip it explicitly.	NONE
shadowVariable	builtin/ls-remote.c	90	7	Local variable 'i' shadows outer variable	398
shadowVariable	builtin/ls-remote.c	149	32	Local variable 'ref' shadows outer variable	398
uselessAssignmentArg	builtin/credential-cache--daemon.c	282	2	Assignment of function parameter has no effect outside the function.	398
uselessAssignmentArg	builtin/credential-cache--daemon.c	315	2	Assignment of function parameter has no effect outside the function.	398
unknownMacro	builtin/describe.c	610	4	There is an unknown macro here somewhere. Configuration is required. If for_each_string_list_item is a macro then please configure it.	NONE
nullPointerRedundantCheck	trace2/tr2_tgt_normal.c	173	37	Either the condition 'parent_names' is redundant or there is possible null pointer dereference: parent_names++.	476
nullPointerArithmeticRedundantCheck	trace2/tr2_tgt_normal.c	173	37	Either the condition 'parent_names' is redundant or there is pointer arithmetic with NULL pointer.	682
variableScope	compat/simple-ipc/ipc-unix-socket.c	588	6	The scope of the variable 'fd' can be reduced.	398
variableScope	compat/simple-ipc/ipc-unix-socket.c	588	10	The scope of the variable 'io' can be reduced.	398
